rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	blacks	124	138	0	0	addam-velaryon	SWORN_TO	Blacks
2	greens	75	127	0	0	adrian-tarbeck	SWORN_TO	Greens
3	age-of-heroes	1	43	0	0	battle-of-crookwater	FIGHTS_IN	Age of Heroes
4	crossroads-inn	2	39	0	0	masha-heddle	DIED_AT	Crossroads inn (track_b: Died)
5	dragons	1	32	0	0	dance-of-the-dragons	DEFEATS	dragons
6	crypt-of-winterfell	14	29	0	0	barthogan-stark	BURIED_AT	Crypt of Winterfell
7	ship	2	26	0	0	allaquo	SWORN_TO	Ship
8	299-ac	1	24	0	1	house-bolton	OVERLORD_OF	299 AC (track_b: Overlords)
9	betrothal	1	24	0	0	lyonel-baratheons-rebellion	DEFEATS	Betrothal
10	joffrey-i-baratheon	2	22	0	0	robert-i-baratheon	SUCCEEDS	Joffrey I Baratheon
11	vale	5	21	0	0	battle-in-the-waters-off-gulltown	DEFEATS	Vale
12	two-betrayers	2	21	0	0	hugh-hammer	SWORN_TO	Two Betrayers
13	andal-invasion	3	17	0	0	battle-of-the-seven-stars	FIGHTS_IN	Andal invasion
14	lads	3	16	0	0	alysanne-blackwood	SWORN_TO	Lads
15	282-ac	1	16	0	1	house-baratheon	OVERLORD_OF	282 AC (track_b: Overlords)
16	moon-of-the-three-kings	1	16	0	0	riot-of-kings-landing-dance-of-the-dragons	DEFEATS	Moon of the Three Kings
17	300-ac	1	15	0	1	house-bolton	OVERLORD_OF	300 AC (track_b: Overlords)
18	giant	1	14	0	0	wun-weg-wun-dar-wun	CULTURE_OF	Giant
19	winter-wolves	1	12	0	0	roderick-dustin	SWORN_TO	Winter Wolves
20	happy-port	6	10	0	0	assadora	SWORN_TO	Happy Port
21	kings-men	5	10	0	0	andrew-estermont	SWORN_TO	King's men
22	the-wall	1	10	0	0	harma-dogshead	DIED_AT	The Wall (track_b: Died)
23	dornish	15	9	0	0	alleras	CULTURE_OF	Dornish (track_b: Race)
24	king-s-landing	1	9	0	0	bramm-of-blackhull	DIED_AT	King’s Landing (track_b: Died)
25	kings-of-the-reach	1	9	0	0	order-of-the-green-hand	SWORN_TO	Kings of the Reach
26	tommen-i-baratheon	7	8	0	0	boots	OWNS	Tommen I Baratheon
27	storm-kings	1	8	0	0	battle-of-six-kings	DEFEATS	Storm Kings
28	the-gate	1	8	0	0	izembaro	SWORN_TO	The Gate
29	house-flint	3	7	0	0	byam-flint	SWORN_TO	House Flint
30	iron-bank	1	7	0	0	bessaro-reyaan	SWORN_TO	Iron Bank
31	lady-of-coldmoat	1	7	1	0	rohanne-webber	HOLDS_TITLE	Lady of Coldmoat
32	lord-paramount-of-the-mander	8	6	1	0	bertrand-tyrell	HOLDS_TITLE	Lord Paramount of the Mander
33	bastards-boys	3	6	0	0	grunt	SWORN_TO	Bastard's Boys
34	house-fossoway	3	6	0	0	derrick-fossoway	SWORN_TO	House Fossoway
35	wedding-of-aegon-iii-targaryen-and-jaehaera-targaryen	1	6	0	0	dance-of-the-dragons	DEFEATS	Wedding of Aegon III Targaryen and Jaehaera Targaryen
36	yunkish	1	6	0	0	crunch	DIED_AT	Yunkish (track_b: Died)
37	battle-of-stonebridge	1	5	0	0	faith-militant-uprising	FIGHTS_IN	Battle of Stonebridge
38	lady-of-the-eyrie	1	5	1	0	jeyne-arryn	HOLDS_TITLE	Lady of the Eyrie
39	motherhouse-of-maris	1	5	0	0	jeyne-arryn	DIED_AT	Motherhouse of Maris (track_b: Died)
40	elephants	3	4	0	0	doniphos-paenymion	SWORN_TO	Elephants
41	last-greenseer	3	4	0	0	ash	SWORN_TO	last greenseer
42	battle-at-the-mander	1	4	0	0	roberts-rebellion	FIGHTS_IN	Battle at the Mander
43	pyntos	1	4	0	0	pynto	SWORN_TO	Pynto's
44	free-company	1	3	0	0	howard-bullock	SWORN_TO	Free Company
